"Временска ознака","Pol","Obrazovanje:","Da li imate radno iskustvo?","Ukoliko ste na prethodno pitanje odgovorila ""Da"", upišite godine iskustva:","Smatrate li da žene u manjoj meri pokazuju interesovanje za tehničke nauke?","Smatrate li da su žene tehnički manje sposobne od muškaraca kada je programiranje u pitanju?","Smatrate li da određene firme tokom procesa selekcije kandidata pokazuju negativnu pristrasnost prema ženama?","Smatrate li da žene u IT industriji zarađuju manje od muškaraca?","Smatrate li da žene u IT sektoru nisu toliko fleksibilne, posvećene i dostupne za rad zbog porodičnih obaveza?","Smatrate li da firme češće daju prednost kandidatima sa formalnim obrazovanjem?","Mislite li da je formalno obrazovanje neophodno da bi se neko smatrao kvalifikovanim programerom?","Smatrate li da su kandidati sa diplomom iz informatike ili srodnih nauka uvek bolji izbor za IT pozicije u poređenju sa samoukim programerima?","Da li verujete da su samouki programeri često potcenjeni u odnosu na kandidate sa formalnim obrazovanjem?","Smatrate li da formalno obrazovanje može ograničiti kreativnost u pronalaženju rešenja u IT industriji?","Da li ste se susreli sa predrasudama o Vašem znanju na osnovu proseka na studijama?","Da li ste se susreli sa predrasudama o Vašim sposobnostima zbog manjka iskustva? ","Da li smatrate da programeri sa akademskim obrazovanjem nemaju praktične veštine?","Smatrate li da kandidati koji su završili studije na privatnim univerzitetima imaju manje znanja od kandidata sa državnih fakulteta?","Smatrate li da će kandidati sa završenim master studijama imati prednost u odnosu na kandidate sa završenim osnovnim studijama?","Smatrate li da su mlađi programeri produktivniji i fleksibilniji?","Smatrate li da stariji radnici imaju problema sa brzinom prilagođavanja novim tehnologijama?","Smatrate li da stariji radnici u IT sektoru donose stabilnost i analitičnost?","Smatrate li da će starije kolege zbog privatnih obaveza biti manje fokusirane na posao od mlađih programera?","Smatrate li da programeri koji su započeli karijeru u kasnijoj životnoj dobi imaju jednake šanse za uspeh kao i programeri koji su karijeru započeli ranije?"
"2024/11/14 2:02:16 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Da","Da","Da","Da","Ne"
"2024/11/14 2:03:44 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 2:03:46 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Da","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Da","Da","Da","Ne","Ne"
"2024/11/14 2:07:35 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Da","Ne","Ne"
"2024/11/14 2:08:45 PM CET","Ženski","Formalno obrazovanje","Da","1","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Da","Da","Ne","Ne","Da","Da","Da","Da"
"2024/11/14 2:09:37 PM CET","Muški","Formalno obrazovanje","Da","3 meseca","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 2:10:53 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 2:12:37 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 2:12:44 PM CET","Ženski","Formalno obrazovanje","Da","1","Ne","Ne","Da","Da","Da","Da","Da","Da","Ne","Da","Da","Da","Da","Da","Ne","Da","Da","Da","Ne","Da"
"2024/11/14 2:14:22 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Ne","Da","Da","Da","Ne","Da"
"2024/11/14 2:15:49 PM CET","Muški","Formalno obrazovanje","Da","2","Da","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Ne"
"2024/11/14 2:22:54 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 2:28:20 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Da","Da","Da","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 2:33:18 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Da","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da"
"2024/11/14 2:34:01 PM CET","Ženski","Formalno obrazovanje","Da","2","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Da","Ne","Ne","Da","Da","Da"
"2024/11/14 2:34:46 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Da","Ne","Da","Da","Ne"
"2024/11/14 2:39:44 PM CET","Muški","Formalno obrazovanje","Da","2","Da","Ne","Ne","Da","Da","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 2:39:55 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Da","Da","Da","Ne","Da","Da","Ne","Da"
"2024/11/14 2:42:58 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Ne","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Ne","Da","Da","Ne"
"2024/11/14 2:44:02 PM CET","Muški","Formalno obrazovanje","Da","3","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","","","Ne","Ne","","","","","Ne"
"2024/11/14 2:44:18 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Da","Da","Da","Da","Da","Ne","Da","Ne","Ne","Da","Da","Da","Da","Da","Da","Da","Da","Ne","Da"
"2024/11/14 2:44:34 PM CET","Muški","Formalno obrazovanje","Da","1.5","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Ne"
"2024/11/14 2:49:39 PM CET","Muški","Formalno obrazovanje","Da","2","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Da","Da","Ne","Da","Ne","Ne"
"2024/11/14 2:51:59 PM CET","Muški","Formalno obrazovanje","Da","2","Da","Ne","Ne","Da","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Ne","Ne","Ne","Da","Da","Da","Ne","Ne"
"2024/11/14 2:58:35 PM CET","Ženski","Formalno obrazovanje","Da","3","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 3:02:10 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Da","Ne","Da"
"2024/11/14 3:03:10 PM CET","Muški","Formalno obrazovanje","Da","4","Da","Ne","Ne","Da","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Ne","Ne","Ne","Da","Da","Ne"
"2024/11/14 3:03:31 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Da","Da","Da","Da","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/14 3:17:43 PM CET","Muški","Samouki programer","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Da","Ne","Da","Ne","Ne"
"2024/11/14 3:31:47 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Da","Da","Da","Da","Ne","Ne","Da","Da","Ne","Da","Da","Da","Da","Da","Ne","Da"
"2024/11/14 3:36:52 PM CET","Ženski","Formalno obrazovanje","Da","pola godine","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne"
"2024/11/14 3:37:45 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Da"
"2024/11/14 3:53:13 PM CET","Ženski","Formalno obrazovanje","Da","1","Da","Ne","Da","Da","Da","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 3:59:10 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Ne","Ne","Da"
"2024/11/14 4:06:54 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Ne","Da","Da","Da","Da","Da","Da","Ne","Ne","Ne","Da","Da","Da","Ne","Da","Da","Da"
"2024/11/14 4:07:04 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 4:14:09 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 4:14:14 PM CET","Ženski","Samouki programer","Ne","","Da","Ne","Da","Da","Ne","Da","Da","Da","Da","Ne","Da","Da","Ne","Da","Ne","Da","Da","Da","Ne","Ne"
"2024/11/14 4:19:05 PM CET","Ženski","Formalno obrazovanje","Da","1","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Da"
"2024/11/14 4:23:06 PM CET","Ženski","Formalno obrazovanje","Da","1/2","Da","Ne","Da","Da","Ne","Da","Ne","Da","Da","Da","Da","Da","Da","Ne","Da","Ne","Da","Da","Da","Da"
"2024/11/14 4:24:47 PM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Da","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Da","Ne"
"2024/11/14 4:38:30 PM CET","Muški","Formalno obrazovanje","Da","2","Ne","Da","Ne","Da","Da","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne"
"2024/11/14 4:56:07 PM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/14 4:57:01 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Da"
"2024/11/14 5:31:26 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 5:41:53 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/14 5:57:04 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Da","Da","Ne","Da","Da","Da","Ne","Da","Ne","Da"
"2024/11/14 6:13:02 PM CET","Muški","Formalno obrazovanje","Da","2","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 6:15:09 PM CET","Muški","Formalno obrazovanje","Da","~1.5","Da","Ne","Da","Da","Da","Da","Ne","Ne","Da","Da","Ne","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Da"
"2024/11/14 6:23:57 PM CET","Ženski","Formalno obrazovanje","Da","6 meseci","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 6:28:41 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Ne","Ne","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Ne","Da","Da","Da","Da","Da","Ne","Da"
"2024/11/14 6:42:31 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Da","Da","Da","Da","Ne","Da"
"2024/11/14 6:46:02 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Da","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 6:52:10 PM CET","Muški","Samouki programer","Da","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/14 6:53:14 PM CET","Muški","Formalno obrazovanje","Da","3.5","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Ne","Da","Ne","Ne","Da"
"2024/11/14 7:07:36 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Ne","Ne","Da"
"2024/11/14 7:37:04 PM CET","Ženski","Formalno obrazovanje","Da","1","Da","Da","Da","Da","Da","Da","Da","Da","Ne","Ne","Da","Da","Ne","Da","Da","Da","Da","Da","Ne","Da"
"2024/11/14 8:24:41 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/14 9:10:32 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Ne"
"2024/11/14 9:15:51 PM CET","Ženski","Formalno obrazovanje","Da","2","Ne","Ne","Ne","Ne","Ne","Da","Da","Da","Da","Ne","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Ne","Ne"
"2024/11/14 9:20:35 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Da","Da","Ne","Ne","Da"
"2024/11/14 9:32:23 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Ne","Ne","Ne"
"2024/11/14 9:34:43 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Da"
"2024/11/14 9:46:45 PM CET","Ženski","Formalno obrazovanje","Da","2 meseca","Da","Da","Da","Da","Da","Da","Da","Da","Da","Da","Da","","Da","Da","Da","Da","Da","Da","Da","Da"
"2024/11/14 10:05:33 PM CET","Ženski","Formalno obrazovanje","Da","Manje od godinu","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Da","Ne","Da","Da","Ne","Ne","Da","Da","Ne","Ne"
"2024/11/14 10:14:04 PM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Ne","Ne","Ne","Da","Da","Da","Ne","Da","Da","Ne","Da"
"2024/11/14 10:27:08 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","","Ne","Ne","Ne","Ne","Da","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 10:48:01 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Da","Da","Da","Ne","Da","Ne","Da","Ne","Ne"
"2024/11/14 11:12:45 PM CET","Muški","Formalno obrazovanje","Da","2+","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Ne"
"2024/11/14 11:53:29 PM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Ne","Da","Da","Da","Da","Da"
"2024/11/15 12:23:10 AM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/15 12:55:42 AM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Da","Ne","Ne","Da","Ne","Ne","Da","Ne","Da","Da","Ne","Ne","Ne","Da","Da","Ne","Da","Da"
"2024/11/15 4:48:29 AM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Da","Da","Da","Da","Ne","Da","Da","Da","Da","Da","Ne","Ne"
"2024/11/15 9:24:11 AM CET","Ženski","Formalno obrazovanje","Ne","","Da","Ne","Da","Da","Ne","Da","Da","Da","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Da"
"2024/11/15 10:01:04 AM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Da","Da","Ne","Da","Da","Da","Ne","Ne"
"2024/11/15 10:52:25 AM CET","Ženski","Formalno obrazovanje","Da","6 meseci","Ne","Ne","Da","Da","Ne","Da","Da","Ne","Ne","Da","Ne","Da","Ne","Da","Da","Ne","Ne","Da","Da","Ne"
"2024/11/15 11:04:11 AM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Ne","Ne","Da","Da","Da","Da","Da","Ne","Ne","Da","Da","Da","Da","Da","Ne","Da","Ne","Ne"
"2024/11/15 3:19:37 PM CET","Muški","Formalno obrazovanje","Da","6","Da","Ne","Da","Da","Da","Da","Ne","Da","Da","Ne","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/15 3:48:06 PM CET","Muški","Formalno obrazovanje","Da","5","Da","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne"
"2024/11/15 4:55:18 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Da","Da","Ne","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Ne","Da","Da","Ne","Ne"
"2024/11/15 4:58:23 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Da"
"2024/11/15 5:08:35 PM CET","Ženski","Formalno obrazovanje","Da","1","Ne","Da","Da","Da","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Ne","Ne","Da","Da","Da","Da","Da"
"2024/11/15 5:57:58 PM CET","Muški","Formalno obrazovanje","Da","1","Da","Ne","","","Ne","Da","","Da","Ne","Ne","Ne","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da"
"2024/11/15 9:37:54 PM CET","Muški","Formalno obrazovanje","Da","","","","","","","","","","","","","","","","","","","","",""
"2024/11/15 10:22:20 PM CET","Muški","Formalno obrazovanje","Da","20","Da","Da","Da","Ne","Da","Da","Da","Da","Ne","Da","Ne","Da","Ne","Da","Da","Ne","Da","Ne","Da","Ne"
"2024/11/15 11:43:52 PM CET","Muški","Formalno obrazovanje","Ne","","Da","Da","Ne","Ne","Da","Da","Da","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Da","Da","Ne","Ne"
"2024/11/16 12:25:13 AM CET","Ženski","Formalno obrazovanje","Ne","","Ne","Ne","Da","Da","Ne","Da","Ne","Ne","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Da","Ne","Ne"
"2024/11/16 11:28:45 AM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Ne","Ne","Da","Ne","Da","Ne","Ne","Ne","Da","Ne","Da","Da","Da","Ne","Da","Da","Da"
"2024/11/16 11:59:17 AM CET","Muški","Formalno obrazovanje","Ne","","Ne","Ne","Ne","Da","Ne","Da","Ne","Da","Ne","Da","Da","Da","Da","Ne","Da","Da","Da","Da","Ne","Ne"
